model,strategy,task_id,rep,n_calls,prompt_tokens,completion_tokens,total_tokens,duration_s,eval_duration_s,parsed,collected,passed,failed,errors,line_coverage,branch_coverage,no_module_import,error
llama3.2:latest,zero_shot,HumanEval/124,0,1,375,289,664,5.808,5.25,True,6,4,2,0,91.66666666666667,87.5,False,
llama3.2:latest,zero_shot,HumanEval/124,1,1,375,308,683,5.627,5.594,True,6,5,1,0,83.33333333333333,75.0,False,
llama3.2:latest,zero_shot,HumanEval/143,0,1,261,232,493,4.589,4.189,True,9,5,4,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/143,1,1,261,185,446,3.362,3.33,True,7,2,5,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/146,0,1,231,221,452,4.329,3.986,True,8,5,3,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/146,1,1,231,203,434,3.689,3.653,True,8,7,1,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/148,0,1,321,158,479,3.356,2.85,True,6,6,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/148,1,1,321,152,473,2.774,2.738,True,6,4,2,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/154,0,1,244,226,470,4.42,4.072,True,6,5,1,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/154,1,1,244,225,469,4.336,4.298,True,6,3,3,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/1,0,1,232,227,459,6.327,4.07,True,7,3,4,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/1,1,1,232,188,420,5.92,3.359,True,6,4,2,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/24,0,1,167,102,269,2.139,1.895,True,4,2,2,0,87.5,75.0,False,
llama3.2:latest,zero_shot,HumanEval/24,1,1,167,120,287,2.376,2.137,True,5,2,3,0,87.5,75.0,False,
llama3.2:latest,zero_shot,HumanEval/31,0,1,211,197,408,4.389,4.075,True,7,7,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/31,1,1,211,170,381,3.699,3.391,True,6,6,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/32,0,1,371,267,638,5.818,5.26,True,0,0,0,0,,,False,timeout
llama3.2:latest,zero_shot,HumanEval/32,1,1,371,336,707,6.203,6.144,True,0,0,0,0,,,False,timeout
llama3.2:latest,zero_shot,HumanEval/35,0,1,194,218,412,4.352,4.047,True,8,7,1,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/35,1,1,194,222,416,4.166,4.12,True,7,6,1,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/39,0,1,211,176,387,3.986,3.683,True,8,5,3,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/39,1,1,211,176,387,3.72,3.68,True,8,5,3,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/55,0,1,162,138,300,2.702,2.47,True,6,4,2,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/55,1,1,162,148,310,2.678,2.647,True,6,4,2,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/59,0,1,178,173,351,3.344,3.105,True,5,3,2,0,91.30434782608695,90.0,False,
llama3.2:latest,zero_shot,HumanEval/59,1,1,178,151,329,2.739,2.704,True,6,3,3,0,91.30434782608695,90.0,False,
llama3.2:latest,zero_shot,HumanEval/64,0,1,240,236,476,4.87,4.53,True,9,3,6,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/64,1,1,240,232,472,4.223,4.19,True,9,4,5,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/67,0,1,322,296,618,6.227,5.723,True,5,2,3,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/67,1,1,322,187,509,3.41,3.375,True,4,3,1,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/68,0,1,423,234,657,4.909,4.248,True,7,7,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/68,1,1,423,231,654,4.229,4.194,True,7,7,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/73,0,1,270,238,508,4.699,4.294,True,7,5,2,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/73,1,1,270,238,508,4.329,4.291,True,7,5,2,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/74,0,1,305,172,477,3.559,3.104,True,5,5,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/74,1,1,305,173,478,3.174,3.135,True,5,5,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/80,0,1,235,201,436,3.965,3.617,True,9,9,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/80,1,1,235,201,436,3.654,3.618,True,9,9,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/92,0,1,247,189,436,3.75,3.405,True,7,7,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/92,1,1,247,187,434,3.398,3.366,True,7,7,0,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/94,0,1,404,579,983,11.206,10.592,True,5,2,3,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/94,1,1,404,886,1290,16.377,16.322,True,5,2,3,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/96,0,1,259,238,497,4.719,4.295,True,8,4,4,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/96,1,1,259,196,455,3.56,3.529,True,6,5,1,0,100.0,100.0,False,
phi3:latest,chain_of_thought,HumanEval/106,0,1,303,135,438,2.76,2.026,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/106,1,1,0,0,0,13.813,0.0,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/107,0,1,0,0,0,22.883,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/107,1,1,0,0,0,22.506,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/110,0,1,377,173,550,3.679,2.683,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/110,1,1,377,90,467,1.382,1.359,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/124,0,1,0,0,0,20.349,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 6)"
phi3:latest,chain_of_thought,HumanEval/124,1,1,0,0,0,12.928,0.0,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/143,0,1,352,90,442,2.137,1.35,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/143,1,1,0,0,0,20.246,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/146,0,1,0,0,0,3.489,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 8)"
phi3:latest,chain_of_thought,HumanEval/146,1,1,305,155,460,2.396,2.35,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 10)"
phi3:latest,chain_of_thought,HumanEval/148,0,1,419,25,444,1.204,0.367,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/148,1,1,419,24,443,0.376,0.352,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 3)"
phi3:latest,chain_of_thought,HumanEval/154,0,1,322,640,962,11.157,10.039,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/154,1,1,0,0,0,9.884,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/1,0,1,317,348,665,5.974,5.343,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/1,1,1,317,484,801,7.704,7.527,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/24,0,1,237,209,446,3.631,3.135,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 4)"
phi3:latest,chain_of_thought,HumanEval/24,1,1,237,426,663,6.579,6.554,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 4)"
phi3:latest,chain_of_thought,HumanEval/31,0,1,0,0,0,1.798,0.0,False,0,0,0,0,,,False,"SyntaxError: unexpected indent (test_generated.py, line 2)"
phi3:latest,chain_of_thought,HumanEval/31,1,1,295,151,446,2.316,2.27,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/32,0,1,465,319,784,5.919,5.004,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/32,1,1,465,80,545,1.247,1.222,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/35,0,1,0,0,0,2.321,0.0,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/35,1,1,264,130,394,1.997,1.95,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/39,0,1,288,104,392,2.091,1.554,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/39,1,1,288,97,385,1.467,1.446,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/55,0,1,230,322,552,5.74,4.879,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/55,1,1,0,0,0,22.826,0.0,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/59,0,1,254,183,437,3.408,2.731,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 2)"
phi3:latest,chain_of_thought,HumanEval/59,1,1,254,216,470,3.264,3.242,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/64,0,1,326,120,446,2.425,1.806,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/64,1,1,326,112,438,1.706,1.683,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 6)"
phi3:latest,chain_of_thought,HumanEval/67,0,1,431,1166,1597,20.567,19.262,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/67,1,1,0,0,0,9.207,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/68,0,1,530,727,1257,12.808,11.777,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/68,1,1,530,278,808,4.613,4.37,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/73,0,1,339,97,436,2.111,1.47,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 10)"
phi3:latest,chain_of_thought,HumanEval/73,1,1,0,0,0,20.389,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 6)"
phi3:latest,chain_of_thought,HumanEval/74,0,1,395,51,446,1.721,0.764,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/74,1,1,0,0,0,12.868,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/80,0,1,311,81,392,1.929,1.211,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/80,1,1,0,0,0,11.634,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/92,0,1,0,0,0,8.775,0.0,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/92,1,1,334,482,816,8.469,7.491,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/94,0,1,509,44,553,1.62,0.667,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/94,1,1,0,0,0,16.556,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/96,0,1,355,82,437,2.09,1.232,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,chain_of_thought,HumanEval/96,1,1,355,1346,1701,22.368,22.339,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/1,0,2,2256,7699,9955,159.818,154.014,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/1,1,2,2256,20420,22676,430.964,424.993,True,0,0,0,0,,,False,"
WARNING: Failed to generate report: No data to report.


no tests ran in 0.02s
"
phi3:latest,least_to_most,HumanEval/24,0,2,2177,13380,15557,281.638,276.315,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/24,1,2,2177,6564,8741,135.988,130.489,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/31,0,2,2675,4358,7033,96.632,84.711,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/31,1,2,828,716,1544,23.688,12.357,True,19,18,1,0,100.0,100.0,False,
phi3:latest,least_to_most,HumanEval/32,0,2,2407,4037,6444,84.695,78.755,True,2,0,2,0,0.0,0.0,True,
phi3:latest,least_to_most,HumanEval/32,1,2,2407,24896,27303,536.216,525.994,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/35,0,2,2206,12754,14960,274.296,266.007,True,2,0,2,0,0.0,0.0,True,
phi3:latest,least_to_most,HumanEval/35,1,2,2050,430,2480,598.987,8.304,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/39,0,2,179,14601,14780,338.327,309.509,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/39,1,2,0,0,0,386.662,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/55,0,2,2174,8894,11068,192.427,180.99,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,least_to_most,HumanEval/55,1,2,0,0,0,556.742,0.0,True,0,0,0,0,,,False,"test_generated.py ______________________
test_generated.py:1: in <module>
    Documentation/text
E   NameError: name 'Documentation' is not defined
=========================== short test summary info ============================
ERROR test_generated.py - NameError: name 'Documentation' is not defined
!!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.09s
"
phi3:latest,zero_shot,HumanEval/106,0,1,253,182,435,3.249,2.733,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 2)"
phi3:latest,zero_shot,HumanEval/106,1,1,253,192,445,2.914,2.891,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 2)"
phi3:latest,zero_shot,HumanEval/107,0,1,371,75,446,1.788,1.125,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,zero_shot,HumanEval/107,1,1,371,82,453,1.255,1.233,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,zero_shot,HumanEval/110,0,1,0,0,0,30.525,0.0,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,zero_shot,HumanEval/110,1,1,0,0,0,25.07,0.0,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,zero_shot,HumanEval/124,0,1,0,0,0,18.985,0.0,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 3)"
phi3:latest,zero_shot,HumanEval/124,1,1,0,0,0,12.088,0.0,False,0,0,0,0,,,False,"SyntaxError: EOL while scanning string literal (test_generated.py, line 1)"
phi3:latest,zero_shot,HumanEval/143,0,1,302,132,434,3.751,1.986,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,zero_shot,HumanEval/143,1,1,302,100,402,1.532,1.503,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
phi3:latest,zero_shot,HumanEval/146,0,1,255,147,402,2.705,2.22,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 4)"
phi3:latest,zero_shot,HumanEval/146,1,1,255,147,402,2.24,2.218,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 2)"
phi3:latest,zero_shot,HumanEval/148,0,1,369,47,416,1.78,0.701,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 3)"
phi3:latest,zero_shot,HumanEval/148,1,1,369,100,469,1.532,1.507,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 3)"
phi3:latest,zero_shot,HumanEval/154,0,1,272,165,437,2.93,2.477,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 8)"
phi3:latest,zero_shot,HumanEval/154,1,1,272,279,551,4.26,4.236,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 4)"
phi3:latest,zero_shot,HumanEval/1,0,1,267,323,590,7.754,5.287,True,9,4,5,0,100.0,100.0,False,
